"name","description",latitude,longitude
"143","2401 S CALIFORNIA AVE",41.84774,-87.695155
"144","2700 W 36TH ST",41.82845,-87.692542
"145","3158 W 38TH ST",41.824564,-87.703393
"146","2161 W 32ND ST",41.835619,-87.679447
"147","2659 W 25TH ST",41.846368,-87.691799
"148","5059 W WASHINGTON BLVD",41.881613,-87.751621
"149","5059 W HURON ST",41.89296,-87.752011
"15","3700 W MC LEAN AVE",41.918301,-87.719477
"150","2824 W 21ST ST",41.853863,-87.696594
"152","4201 S CAMPBELL AVE",41.817289,-87.686975
"153","4831 W WEST END AVE",41.882989,-87.746066
"154","2300 N LOREL AVE",41.922437,-87.759935
"155","4959 W CHICAGO AVE",41.894824,-87.749847
"156","1833 S WOOD ST",41.856688,-87.670904
"157","2259 W 19TH ST",41.855623,-87.682231
"158","2159 W 21ST ST",41.853823,-87.679726
"159","1824 S DAMEN AVE",41.856952,-87.676144
"16","2702 W 38TH ST",41.82479,-87.692513
"160","1958 S CARPENTER ST",41.855591,-87.65331
"161","1624 S DESPLAINES ST",41.859493,-87.643084
"162","500 N AVERS AVE",41.890087,-87.722424
"163","3731 W ROOSEVELT RD",41.866139,-87.71833
"164","7201 S ABERDEEN ST",41.763075,-87.651444
"165","163 W CERMAK RD",41.852654,-87.631452
"166","2331 S WENTWORTH AVE",41.849961,-87.631839
"167","4900 S KILBOURN AVE",41.803813,-87.735871
"168","6959 S BISHOP ST",41.76755,-87.66007
"169","6759 S MAY ST",41.771298,-87.652874
"17","5300 W MONROE ST",41.879479,-87.75807
"170","359 W 79TH ST",41.75069,-87.633517
"171","7501 S STEWART AVE",41.757885,-87.634284
"172","6759 S GREEN ST",41.7714,-87.6456
"173","7159 S HERMITAGE AVE",41.763842,-87.667244
"174","1479 W 72ND PL",41.762083,-87.661481
"175","6700 S KILDARE AVE",41.771082,-87.730054
"176","4400 W 55TH ST",41.79321,-87.733093
"177","6759 S CLAREMONT AVE",41.770949,-87.681921
"178","6401 S KILBOURN AVE",41.776584,-87.734795
"179","4346 W 57TH ST",41.78968,-87.73197
"18","5902 S UNION AVE",41.786803,-87.642713
"181","6947 S HAMLIN AVE",41.766648,-87.717363
"182","3202 S MORGAN ST",41.836001,-87.651234
"183","3701 S WOOD ST",41.826605,-87.670122
"184","958 W BELMONT AVE",41.940015,-87.653407
"186","3459 W 13TH PL",41.86397,-87.711858
"187","3901 W POLK ST",41.870612,-87.723124
"188","648 S PULASKI RD",41.872705,-87.725587
"189","3059 W CERMAK RD",41.851681,-87.702089
"19","400 S LOTUS AVE",41.87466,-87.761702
"190","4202 W CERMAK RD",41.851701,-87.729867
"191","653 N LEAMINGTON AVE",41.8922,-87.754075
"192","125 N LARAMIE AVE",41.883208,-87.755004
"193","4402 W WASHINGTON BLVD",41.882081,-87.735798
"194","3334 W WALNUT ST",41.88549,-87.709372
"196","4300 W WEST END AVE",41.88337,-87.73325
"197","4300 W MAYPOLE AVE",41.884671,-87.733272
"198","3302 W DIVISION ST",41.902815,-87.709256
"2","8700 S EXCHANGE AVE",41.737169,-87.552963
"20","3101 W 39TH PL",41.821619,-87.70229
"200","5558 S LOOMIS BLVD",41.792907,-87.659881
"201","2458 W DIVISION ST",41.903126,-87.688781
"2010","320 E NORTH WATER ST",41.889598,-87.619545
"2011","500 W ADAMS ST",41.879432,-87.639763
"2012","40 W ADAMS ST",41.879602,-87.628936
"2013","300 W ADAMS ST",41.879478,-87.635396
"2014","800 W ADAMS ST",41.879306,-87.64741
"2015","150 W ADAMS ST",41.879512,-87.632434
"2016","425 W ADAMS ST",41.879159,-87.638917
"2017","45 E ADAMS ST",41.87938,-87.626376
"2018","345 W ADAMS ST",41.879237,-87.6364
"2019","1900 W ADAMS ST",41.878856,-87.674301
